Energy [MeV],Counts
0,0
0.0219298,0
0.0438596,0
0.0657895,0
0.0877193,0
0.109649,0
0.131579,0
0.153509,0
0.175439,0
0.197368,0
0.219298,0
0.241228,0
0.263158,0
0.285088,0
0.307018,0
0.328947,0
0.350877,0
0.372807,0
0.394737,0
0.416667,0
0.438596,0
0.460526,0
0.482456,0
0.504386,0
0.526316,0
0.548246,0
0.570175,0
0.592105,0
0.614035,0
0.635965,0
0.657895,0
0.679825,0
0.701754,0
0.723684,0
0.745614,0
0.767544,0
0.789474,0
0.811404,0
0.833333,0
0.855263,0
0.877193,0
0.899123,0
0.921053,0
0.942982,0
0.964912,0
0.986842,0
1.00877,0
1.0307,0
1.05263,0
1.07456,0
1.09649,0
1.11842,0
1.14035,0
1.16228,0
1.18421,0
1.20614,0
1.22807,0
1.25,0
1.27193,0
1.29386,0
1.31579,0
1.33772,0
1.35965,0
1.38158,0
1.40351,0
1.42544,0
1.44737,0
1.4693,0
1.49123,0
1.51316,0
1.53509,0
1.55702,0
1.57895,0
1.60088,0
1.62281,0
1.64474,3
1.66667,7
1.6886,8
1.71053,12
1.73246,9
1.75439,8
1.77632,13
1.79825,11
1.82018,9
1.84211,1
1.86404,1
1.88596,0
1.90789,0
1.92982,0
1.95175,0
1.97368,0
1.99561,0
2.01754,0
2.03947,0
2.0614,0
2.08333,0
2.10526,0
2.12719,0
2.14912,0
2.17105,0
2.19298,0
2.21491,0
2.23684,0
2.25877,0
2.2807,0
2.30263,0
2.32456,0
2.34649,2
2.36842,3
2.39035,2
2.41228,6
2.43421,3
2.45614,2
2.47807,3
